Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4,agent,model,risk,run
1,6,12,1,5,6.038999999999995,7,18,46,47,60,95,12.50499999999999,13.48099999999999,0.305,3.842999999999997,20,17,3,12,46,59,3,16,5,0,17,4.25,6,Lc,0.27184782608695646,0.2284915254237288,0.10166666666666667,0.24018749999999997,baseline,original,Lc,3
1,7,13,1,6,7.319999999999994,15,35,2,4,53,46,9.210999999999993,0.427,8.722999999999994,0.305,20,2,17,2,44,3,45,2,6,0,21,5.25,6,Lc,0.20934090909090908,0.14233333333333334,0.19384444444444443,0.1525,baseline,original,Lc,3
1,7,14,1,9,9.271999999999993,14,55,66,70,61,17,14.15199999999999,0.122,12.26099999999999,15.249999999999988,20,1,18,17,77,1,49,54,4,0.5,30,4.5,6,Lc,0.18379220779220778,0.122,0.2502244897959183,0.2824074074074074,baseline,original,Lc,3
1,8,15,1,5,5.7949999999999955,15,37,41,45,113,44,11.77299999999999,8.661999999999994,5.916999999999995,1.7079999999999989,20,16,14,5,62,40,28,5,5,0.5,32,4.25,6,Lc,0.18988709677419355,0.21654999999999996,0.21132142857142855,0.3415999999999999,baseline,original,Lc,3
1,8,16,1,3,12.32199999999999,20,60,35,25,93,60,13.48099999999999,2.0129999999999986,11.71199999999999,0.122,20,7,18,2,64,7,57,2,5,0,17,4.25,6,Lc,0.21064062499999997,0.2875714285714286,0.20547368421052628,0.061,baseline,original,Lc,3
1,9,17,1,1,15.371999999999987,19,76,80,78,2,110,19.458999999999985,0.7929999999999997,15.188999999999988,10.064999999999992,20,6,18,16,92,7,71,35,3,0,14,3.5,6,Lc,0.21151086956521736,0.11328571428571428,0.21392957746478872,0.28757142857142853,baseline,original,Lc,3
1,9,18,1,9,11.589999999999991,12,49,70,62,61,27,13.724999999999989,2.0129999999999986,4.818999999999996,2.561999999999998,20,8,15,11,59,12,27,16,4,0.5,29,4.25,6,Lc,0.2326271186440678,0.16774999999999998,0.17848148148148146,0.160125,baseline,original,Lc,3
1,10,19,1,7,15.310999999999988,12,69,21,18,31,20,15.737999999999987,2.2569999999999983,13.29799999999999,0.7929999999999997,14,8,16,3,71,9,55,3,6,0.5,41,5.75,6,Lc,0.2216619718309859,0.25077777777777777,0.24178181818181815,0.2643333333333333,baseline,original,Lc,3
1,10,20,1,5,8.539999999999994,20,44,37,44,49,4,8.600999999999994,0.7319999999999998,2.439999999999998,2.622999999999998,20,4,8,8,45,4,11,12,5,0,20,5,6,Lc,0.19113333333333332,0.183,0.2218181818181818,0.2185833333333333,baseline,original,Lc,3
1,11,21,1,7,6.404999999999995,17,31,20,22,14,18,13.48099999999999,0.061,3.598999999999997,2.1959999999999984,20,1,10,9,60,1,15,11,6,1,72,6,6,Lc,0.22468333333333332,0.061,0.2399333333333333,0.1996363636363636,baseline,original,Lc,3
1,11,22,1,9,8.905999999999993,20,39,68,70,37,65,9.576999999999993,4.269999999999997,0.8539999999999996,0.9149999999999996,20,11,1,4,41,19,1,4,4,0.5,29,4.25,6,Lc,0.23358536585365852,0.22473684210526315,0.8539999999999996,0.22874999999999998,baseline,original,Lc,3
1,12,23,1,5,12.50499999999999,10,50,42,46,76,56,17.384999999999987,0.305,4.818999999999996,2.500999999999998,20,2,13,9,66,2,18,12,5,0,17,4.25,6,Lc,0.26340909090909087,0.1525,0.2677222222222222,0.20841666666666667,baseline,original,Lc,3
1,12,24,1,9,9.881999999999993,16,50,66,5,72,64,14.02999999999999,3.476999999999997,0.122,3.1109999999999975,20,12,2,9,69,16,2,14,4,0.5,30,4.5,6,Lc,0.20333333333333334,0.2173125,0.061,0.2222142857142857,baseline,original,Lc,3
1,13,25,1,3,4.940999999999996,18,21,29,35,26,36,8.783999999999994,1.1589999999999994,1.9519999999999986,1.8299999999999987,20,4,9,8,35,5,13,10,5,1,60,5,6,Lc,0.25097142857142857,0.23179999999999998,0.15015384615384614,0.183,baseline,original,Lc,3
1,13,26,1,9,5.428999999999996,8,22,62,64,42,12,5.611999999999996,1.4029999999999991,5.428999999999996,0.183,9,7,9,2,23,7,18,2,4,0,19,4.75,6,Lc,0.244,0.20042857142857143,0.30161111111111105,0.0915,baseline,original,Lc,3
